Epoch,Loss,Val Acc
0.0,1.4460242079184935,87.256006006006
1.0,0.2993465246962713,93.43093093093093
2.0,0.17446356195139814,94.81981981981981
3.0,0.12980790090587763,94.55705705705705
4.0,0.10382921132049314,96.34009009009009
5.0,0.08376219774024454,95.81456456456456
6.0,0.07378133609030933,96.43393393393393
7.0,0.06078967650060181,97.240990990991
8.0,0.05601564180469504,96.92192192192192
9.0,0.049673363173628006,97.33483483483484
10.0,0.05329316399303508,97.29729729729729
11.0,0.039679418043541095,97.09084084084084
12.0,0.03554222938956346,97.05330330330331
13.0,0.03096568702004571,97.44744744744744
14.0,0.0346389437994889,97.67267267267268
15.0,0.029293040285263996,97.03453453453453
16.0,0.03329101592765886,97.50375375375376
17.0,0.025087146749697253,97.40990990990991
18.0,0.022154631616991514,97.61636636636636
19.0,0.02717161612063328,97.42867867867868
